"gene","gene_upper","codingLenInTarget"
"ESCO2","ESCO2",1806
"ESD","ESD",849
"ESF1","ESF1",2556
"ESM1","ESM1",555
"ESPN","ESPN",2565
"ESPNL","ESPNL",3018
"ESR1","ESR1",1788
"ESR2","ESR2",1688
"ESRP1","ESRP1",2067
"ESRP2","ESRP2",2154
"ESRRA","ESRRA",1272
"ESRRB","ESRRB",1527
"ESRRG","ESRRG",1397
"ESX1","ESX1",1221
"ESYT1","ESYT1",3345
"ESYT2","ESYT2",2682
"ESYT3","ESYT3",2661
"ETAA1","ETAA1",2781
"ETF1","ETF1",1314
"ETFA","ETFA",1002
"ETFDH","ETFDH",1854
"ETHE1","ETHE1",765
"ETNK2","ETNK2",1161
"ETNPPL","ETNPPL",1501
"ETS1","ETS1",1540
"ETS2","ETS2",1410
"ETV1","ETV1",1495
"ETV2","ETV2",1029
"ETV3","ETV3",1571
"ETV3L","ETV3L",1086
"ETV4","ETV4",1455
"ETV5","ETV5",1533
"ETV7","ETV7",1046
"EVA1A","EVA1A",459
"EVA1B","EVA1B",498
"EVA1C","EVA1C",1326
"EVC","EVC",2979
"EVI2A","EVI2A",780
"EVI2B","EVI2B",1347
"EVI5","EVI5",2433
"EVI5L","EVI5L",2418
"EVL","EVL",1257
"EVPL","EVPL",6102
"EVPLL","EVPLL",906
"EVX1","EVX1",1224
"EVX2","EVX2",1431
"EWSR1","EWSR1",2080
"EXD1","EXD1",1545
"EXD3","EXD3",2631
"EXO5","EXO5",1122
"EXOC1","EXOC1",2685
"EXOC3","EXOC3",2238
"EXOC3L1","EXOC3L1",2241
"EXOC3L2","EXOC3L2",1230
"EXOC3L4","EXOC3L4",2169
"EXOC4","EXOC4",2930
"EXOC6","EXOC6",2501
"EXOC6B","EXOC6B",2436
"EXOC7","EXOC7",2208
"EXOC8","EXOC8",2178
"EXOG","EXOG",1107
"EXOSC1","EXOSC1",588
"EXOSC10","EXOSC10",2658
"EXOSC2","EXOSC2",882
"EXOSC3","EXOSC3",828
"EXOSC4","EXOSC4",738
"EXOSC5","EXOSC5",708
"EXOSC6","EXOSC6",819
"EXOSC7","EXOSC7",876
"EXPH5","EXPH5",5970
"EXT1","EXT1",2241
"EXTL2","EXTL2",993
"EYA2","EYA2",1617
"EYA3","EYA3",1722
"EYA4","EYA4",2021
"EYS","EYS",9548
"EZR","EZR",1761
"F10","F10",1467
"F11","F11",1878
"F11R","F11R",900
"F12","F12",1848
"F13A1","F13A1",2199
"F13B","F13B",1986
"F2","F2",1869
"F2RL1","F2RL1",1194
"F2RL2","F2RL2",1125
"F2RL3","F2RL3",1158
"F3","F3",888
"F5","F5",6675
"F7","F7",1401
"F8","F8",7080
"F8A1","F8A1",3348
"F8A2","F8A2",3348
"F8A3","F8A3",3348
"F9","F9",1386
"FA2H","FA2H",1119
"FAAH","FAAH",1740
"FABP1","FABP1",384
"FABP12","FABP12",423
"FABP2","FABP2",399
"FABP3","FABP3",402
"FABP5","FABP5",408
"FABP6","FABP6",534
"FABP7","FABP7",399
"FABP9","FABP9",399
"FADD","FADD",627
"FADS1","FADS1",1506
"FADS2","FADS2",1449
"FADS3","FADS3",1338
"FADS6","FADS6",1053
"FAF1","FAF1",1953
"FAH","FAH",1260
"FAHD1","FAHD1",720
"FAHD2A","FAHD2A",945
"FAHD2B","FAHD2B",945
"FAIM","FAIM",686
"FAIM2","FAIM2",951
"FAIM3","FAIM3",1173
"FAM101A","FAM101A",408
"FAM101B","FAM101B",436
"FAM102A","FAM102A",1155
"FAM102B","FAM102B",1083
"FAM103A1","FAM103A1",357
"FAM104A","FAM104A",624
"FAM104B","FAM104B",480
"FAM105A","FAM105A",1071
"FAM105B","FAM105B",1059
"FAM107A","FAM107A",435
"FAM107B","FAM107B",921
"FAM109A","FAM109A",770
"FAM109B","FAM109B",780
"FAM110C","FAM110C",966
"FAM110D","FAM110D",816
"FAM111A","FAM111A",1836
"FAM114A1","FAM114A1",1692
"FAM114A2","FAM114A2",1518
"FAM115C","FAM115C",2538
"FAM117A","FAM117A",1362
"FAM118A","FAM118A",1074
"FAM118B","FAM118B",1056
"FAM120AOS","FAM120AOS",771
"FAM120C","FAM120C",3291
"FAM122A","FAM122A",864
"FAM122B","FAM122B",874
"FAM122C","FAM122C",942
"FAM124A","FAM124A",1749
"FAM124B","FAM124B",1368
"FAM126A","FAM126A",1566
"FAM126B","FAM126B",1593
"FAM127A","FAM127A",342
"FAM127C","FAM127C",342
"FAM129A","FAM129A",2787
"FAM129C","FAM129C",2207
"FAM131A","FAM131A",1101
"FAM131B","FAM131B",1083
"FAM131C","FAM131C",843
"FAM132A","FAM132A",909
"FAM133A","FAM133A",747
"FAM133B","FAM133B",657
"FAM134B","FAM134B",1529
"FAM134C","FAM134C",1401
"FAM135A","FAM135A",4626
"FAM135B","FAM135B",4221
"FAM13A","FAM13A",3101
"FAM13B","FAM13B",2814
"FAM13C","FAM13C",1758
"FAM149A","FAM149A",1449
"FAM149B1","FAM149B1",1749
"FAM150A","FAM150A",390
"FAM150B","FAM150B",459
"FAM151B","FAM151B",831
"FAM153A","FAM153A",933
"FAM153B","FAM153B",791
"FAM154A","FAM154A",1425
"FAM154B","FAM154B",1197
"FAM155A","FAM155A",1377
"FAM155B","FAM155B",1419
"FAM156A","FAM156A",1284
"FAM156B","FAM156B",1284
"FAM157A","FAM157A",1152
"FAM157B","FAM157B",1155
"FAM159A","FAM159A",573
"FAM159B","FAM159B",483
"FAM160A1","FAM160A1",3123
"FAM160B1","FAM160B1",2323
"FAM160B2","FAM160B2",2232
"FAM161A","FAM161A",1983
"FAM162A","FAM162A",465
"FAM162B","FAM162B",489
"FAM163A","FAM163A",504
"FAM163B","FAM163B",501
"FAM166A","FAM166A",954
"FAM166B","FAM166B",828
"FAM167A","FAM167A",645
"FAM167B","FAM167B",492
"FAM168A","FAM168A",708
"FAM169A","FAM169A",2013
"FAM169B","FAM169B",579
"FAM170A","FAM170A",990
"FAM170B","FAM170B",852
"FAM171A1","FAM171A1",2673
"FAM173A","FAM173A",708
"FAM173B","FAM173B",702
"FAM174A","FAM174A",573
"FAM174B","FAM174B",480
"FAM175B","FAM175B",1248
"FAM177A1","FAM177A1",711
"FAM178A","FAM178A",3617
"FAM178B","FAM178B",1967
"FAM179A","FAM179A",3060
"FAM180A","FAM180A",522
"FAM181A","FAM181A",1065
"FAM181B","FAM181B",1281
"FAM183A","FAM183A",405
"FAM184A","FAM184A",3423
"FAM185A","FAM185A",1179
"FAM186A","FAM186A",7056
"FAM186B","FAM186B",2682
"FAM187B","FAM187B",1110
"FAM188A","FAM188A",1338
"FAM188B","FAM188B",2274
"FAM189A1","FAM189A1",1620
"FAM189A2","FAM189A2",1353
"FAM189B","FAM189B",2010
"FAM192A","FAM192A",765
"FAM193B","FAM193B",2150
"FAM194A","FAM194A",1992
"FAM194B","FAM194B",2091
"FAM195A","FAM195A",483
"FAM195B","FAM195B",294
"FAM196A","FAM196A",1440
"FAM196B","FAM196B",1608
"FAM198A","FAM198A",1728
"FAM198B","FAM198B",1661
"FAM199X","FAM199X",1167
"FAM19A1","FAM19A1",402
"FAM19A2","FAM19A2",396
"FAM19A3","FAM19A3",510
"FAM19A4","FAM19A4",423
"FAM19A5","FAM19A5",490
"FAM203A","FAM203A",2346
"FAM204A","FAM204A",702
"FAM206A","FAM206A",546
"FAM207A","FAM207A",693
"FAM208B","FAM208B",7293
"FAM209A","FAM209A",516
"FAM209B","FAM209B",516
"FAM20A","FAM20A",1626
"FAM20B","FAM20B",1230
"FAM20C","FAM20C",1755
"FAM210A","FAM210A",819
"FAM210B","FAM210B",579
"FAM211A","FAM211A",1035
"FAM211B","FAM211B",948
"FAM212A","FAM212A",864
"FAM212B","FAM212B",906
"FAM213A","FAM213A",690
"FAM213B","FAM213B",693
"FAM214A","FAM214A",3231
"FAM216A","FAM216A",822
"FAM216B","FAM216B",420
"FAM217A","FAM217A",1527
"FAM217B","FAM217B",1152
"FAM218A","FAM218A",474
"FAM219A","FAM219A",552
"FAM219B","FAM219B",597
"FAM21B","FAM21B",7524
"FAM21C","FAM21C",3963
"FAM221A","FAM221A",897
"FAM221B","FAM221B",1209
"FAM222A","FAM222A",1359
"FAM222B","FAM222B",1689
"FAM227A","FAM227A",1713
"FAM227B","FAM227B",1527
"FAM228A","FAM228A",621
"FAM228B","FAM228B",974
"FAM229A","FAM229A",384
"FAM229B","FAM229B",243
"FAM24A","FAM24A",318
"FAM24B","FAM24B",285
"FAM25A","FAM25A",63
"FAM25B","FAM25B",475
"FAM25C","FAM25C",475
"FAM25G","FAM25G",475
"FAM26D","FAM26D",387
"FAM26E","FAM26E",930
"FAM26F","FAM26F",948
"FAM32A","FAM32A",339
"FAM35A","FAM35A",2508
"FAM3A","FAM3A",693
"FAM3B","FAM3B",708
"FAM3C","FAM3C",684
"FAM3D","FAM3D",675
"FAM43A","FAM43A",1272
"FAM43B","FAM43B",990
"FAM46A","FAM46A",1329
"FAM46B","FAM46B",1278
"FAM46C","FAM46C",1176
"FAM46D","FAM46D",1170
"FAM47A","FAM47A",2376
"FAM47C","FAM47C",3108
"FAM47E","FAM47E",1202
"FAM47E-STBD1","FAM47E-STBD1",1056
"FAM49A","FAM49A",972
"FAM49B","FAM49B",975
"FAM50A","FAM50A",1020
"FAM50B","FAM50B",978
"FAM53A","FAM53A",1197
"FAM53B","FAM53B",1269
"FAM53C","FAM53C",1179
"FAM57B","FAM57B",825
"FAM58A","FAM58A",745
"FAM5C","FAM5C",2301
"FAM63A","FAM63A",1554
"FAM63B","FAM63B",1866
"FAM64A","FAM64A",717
"FAM65B","FAM65B",3213
"FAM65C","FAM65C",2841
"FAM69A","FAM69A",1302
"FAM69C","FAM69C",1260
"FAM71A","FAM71A",1785
"FAM71B","FAM71B",1818
"FAM71C","FAM71C",726
"FAM71D","FAM71D",1269
"FAM71E1","FAM71E1",696
"FAM71E2","FAM71E2",2769
"FAM71F1","FAM71F1",1035
"FAM71F2","FAM71F2",930
"FAM72A","FAM72A",450
"FAM72B","FAM72B",450
"FAM73A","FAM73A",1902
"FAM73B","FAM73B",1782
"FAM76A","FAM76A",924
"FAM78A","FAM78A",852
"FAM78B","FAM78B",786
"FAM81A","FAM81A",1107
"FAM81B","FAM81B",1359
"FAM83A","FAM83A",1376
"FAM83B","FAM83B",3036
"FAM83E","FAM83E",1437
"FAM83F","FAM83F",1503
"FAM83H","FAM83H",3540
"FAM84A","FAM84A",879
"FAM84B","FAM84B",933
"FAM86A","FAM86A",577
"FAM86B1","FAM86B1",412
"FAM86B2","FAM86B2",699
"FAM86C1","FAM86C1",516
"FAM89A","FAM89A",555
"FAM90A1","FAM90A1",1395
"FAM92A1","FAM92A1",870
"FAM96A","FAM96A",483
"FAM96B","FAM96B",492
"FAM98A","FAM98A",1557
"FAM98B","FAM98B",1398
"FAM98C","FAM98C",1050
"FAM9A","FAM9A",999
"FAM9B","FAM9B",561
"FAM9C","FAM9C",501
"FAN1","FAN1",3079
"FANCB","FANCB",2580
"FANCD2OS","FANCD2OS",534
"FANCL","FANCL",1143
"FANCM","FANCM",6147
"FANK1","FANK1",1038
"FAR1","FAR1",1548
"FAR2","FAR2",1548
"FARP2","FARP2",3165
"FARS2","FARS2",1356
"FARSA","FARSA",1527
"FAS","FAS",1008
"FASLG","FASLG",846
"FASTK","FASTK",1650
"FASTKD1","FASTKD1",2544
"FASTKD2","FASTKD2",2133
"FASTKD3","FASTKD3",1989
"FASTKD5","FASTKD5",2295
"FATE1","FATE1",552
"FAU","FAU",402
"FAXDC2","FAXDC2",1002
"FBF1","FBF1",3402
"FBLIM1","FBLIM1",1357
"FBLN2","FBLN2",3696
"FBLN5","FBLN5",1347
"FBLN7","FBLN7",1320
"FBN2","FBN2",8739
"FBP1","FBP1",1017
"FBP2","FBP2",1020
"FBRS","FBRS",1383
"FBRSL1","FBRSL1",3138
"FBXL12","FBXL12",981
"FBXL13","FBXL13",2208
"FBXL14","FBXL14",1257
"FBXL15","FBXL15",903
"FBXL17","FBXL17",2106
"FBXL18","FBXL18",2157
"FBXL2","FBXL2",1272
"FBXL20","FBXL20",1311
"FBXL21","FBXL21",1305
"FBXL22","FBXL22",744
"FBXL3","FBXL3",1287
"FBXL4","FBXL4",1866
"FBXL5","FBXL5",2076
"FBXL7","FBXL7",1476
"FBXL8","FBXL8",1125
"FBXO15","FBXO15",1533
"FBXO16","FBXO16",879
"FBXO17","FBXO17",864
"FBXO2","FBXO2",891
"FBXO22","FBXO22",1249
"FBXO24","FBXO24",1896
"FBXO27","FBXO27",852
"FBXO28","FBXO28",1107
"FBXO3","FBXO3",1425
"FBXO31","FBXO31",1620
"FBXO32","FBXO32",1068
"FBXO33","FBXO33",1668
"FBXO34","FBXO34",2136
"FBXO36","FBXO36",567
"FBXO39","FBXO39",1329
"FBXO4","FBXO4",1190
"FBXO40","FBXO40",2130
"FBXO44","FBXO44",800
"FBXO45","FBXO45",861
"FBXO47","FBXO47",1359
"FBXO48","FBXO48",468
"FBXO6","FBXO6",882
"FBXO7","FBXO7",1606
"FBXO8","FBXO8",960
"FBXO9","FBXO9",1347
"FBXW10","FBXW10",3159
"FBXW12","FBXW12",1428
"FBXW2","FBXW2",1365
"FBXW4","FBXW4",1239
"FBXW5","FBXW5",1701
"FBXW7","FBXW7",2552
"FCAMR","FCAMR",1734
"FCER1A","FCER1A",774
"FCER1G","FCER1G",261
"FCER2","FCER2",966
"FCF1","FCF1",597
"FCGR1A","FCGR1A",1125
"FCGR1B","FCGR1B",843
"FCGR2A","FCGR2A",954
"FCGR2B","FCGR2B",933
"FCGR2C","FCGR2C",972
"FCGR3A","FCGR3A",873
"FCGR3B","FCGR3B",752
"FCGRT","FCGRT",1098
"FCHO2","FCHO2",2433
"FCHSD1","FCHSD1",2073
"FCN1","FCN1",981
"FCN2","FCN2",942
"FCN3","FCN3",900
"FCRL1","FCRL1",1352
"FCRL2","FCRL2",1527
"FCRL3","FCRL3",2205
"FCRL4","FCRL4",1548
"FCRL5","FCRL5",2959
"FCRLA","FCRLA",1131
"FCRLB","FCRLB",1281
"FDCSP","FDCSP",258
"FDPS","FDPS",1260
"FDX1","FDX1",555
"FDX1L","FDX1L",552
"FDXACB1","FDXACB1",1875
"FDXR","FDXR",1518
"FECH","FECH",1290
"FEM1A","FEM1A",2010
"FEM1C","FEM1C",1854
"FEN1","FEN1",1143
"FER","FER",2469
"FER1L6","FER1L6",5574
"FERD3L","FERD3L",501
"FERMT2","FERMT2",2076
"FERMT3","FERMT3",2004
"FES","FES",2469
"FETUB","FETUB",1149
"FEV","FEV",717
"FEZ1","FEZ1",1183
"FEZ2","FEZ2",1143
"FEZF1","FEZF1",1428
"FFAR1","FFAR1",903
"FFAR2","FFAR2",993
"FFAR3","FFAR3",1041
"FFAR4","FFAR4",1134
"FGA","FGA",2645
"FGB","FGB",1476
"FGD2","FGD2",1968
"FGD5","FGD5",4389
"FGD6","FGD6",4293
"FGF1","FGF1",468
"FGF10","FGF10",627
"FGF11","FGF11",678
"FGF12","FGF12",745
"FGF13","FGF13",983
"FGF14","FGF14",952
"FGF16","FGF16",351
"FGF17","FGF17",651
"FGF18","FGF18",624
"FGF19","FGF19",651
"FGF20","FGF20",636
"FGF21","FGF21",630
"FGF22","FGF22",513
"FGF23","FGF23",756
"FGF3","FGF3",720
"FGF4","FGF4",621
"FGF5","FGF5",807
"FGF6","FGF6",627
"FGF7","FGF7",481
"FGF8","FGF8",735
"FGF9","FGF9",627
"FGFBP2","FGFBP2",672
"FGFBP3","FGFBP3",777
"FGFR1","FGFR1",2494
"FGFR1OP","FGFR1OP",1200
"FGFR1OP2","FGFR1OP2",771
"FGFR2","FGFR2",2710
"FGFR3","FGFR3",2572
"FGFR4","FGFR4",2483
"FGFRL1","FGFRL1",1515
"FGG","FGG",1377
"FGL1","FGL1",939
"FGL2","FGL2",1320
"FGR","FGR",1590
"FH","FH",1533
"FHAD1","FHAD1",4239
"FHDC1","FHDC1",3432
"FHIT","FHIT",444
"FHL1","FHL1",1152
"FHL2","FHL2",840
"FHL3","FHL3",843
"FHL5","FHL5",855
"FHOD1","FHOD1",3495
"FHOD3","FHOD3",4320
"FIBCD1","FIBCD1",1386
"FIBIN","FIBIN",636
"FIBP","FIBP",1095
"FICD","FICD",1377
"FIG4","FIG4",2724
"FIGF","FIGF",1065
"FIGLA","FIGLA",660
"FIGN","FIGN",2280
"FIGNL2","FIGNL2",1962
"FILIP1","FILIP1",3642
"FILIP1L","FILIP1L",3429
"FIP1L1","FIP1L1",1812
"FIS1","FIS1",459
"FITM1","FITM1",879
"FITM2","FITM2",789
"FIZ1","FIZ1",1491
"FJX1","FJX1",1314
"FKBP10","FKBP10",1749
"FKBP11","FKBP11",659
"FKBP14","FKBP14",636
"FKBP15","FKBP15",3660
"FKBP1A","FKBP1A",347
"FKBP1B","FKBP1B",372
"FKBP2","FKBP2",429
"FKBP3","FKBP3",675
"FKBP4","FKBP4",1380
"FKBP5","FKBP5",1432
"FKBP6","FKBP6",1026
"FKBP9","FKBP9",1713
"FKBPL","FKBPL",1050
"FKRP","FKRP",1488
"FKTN","FKTN",1386
"FLAD1","FLAD1",1808
"FLCN","FLCN",1898
"FLG2","FLG2",7176
"FLI1","FLI1",1359
"FLJ25363","FLJ25363",288
"FLJ44635","FLJ44635",423
"FLNA","FLNA",7944
"FLNB","FLNB",7902
"FLNC","FLNC",8178
"FLOT1","FLOT1",320
"FLOT2","FLOT2",1287
"FLRT1","FLRT1",2025
"FLRT2","FLRT2",1983
"FLRT3","FLRT3",1950
"FLT1","FLT1",4273
"FLT3","FLT3",2982
"FLT3LG","FLT3LG",708
"FLT4","FLT4",4092
"FLVCR2","FLVCR2",1581
"FLYWCH1","FLYWCH1",2152
"FLYWCH2","FLYWCH2",423
"FMN1","FMN1",3591
"FMN2","FMN2",5169
"FMNL1","FMNL1",3303
"FMNL2","FMNL2",3279
"FMNL3","FMNL3",3084
"FMO1","FMO1",1599
"FMO2","FMO2",1416
"FMO3","FMO3",1599
"FMO4","FMO4",1677
"FMO5","FMO5",1741
"FMR1NB","FMR1NB",768
"FN3K","FN3K",930
"FN3KRP","FN3KRP",930
"FNBP1","FNBP1",1854
"FNBP4","FNBP4",3054
"FNDC1","FNDC1",5685
"FNDC3A","FNDC3A",3604
"FNDC3B","FNDC3B",3615
"FNDC4","FNDC4",705
"FNDC5","FNDC5",449
"FNDC7","FNDC7",2202
"FNDC8","FNDC8",975
"FNDC9","FNDC9",675
"FNIP1","FNIP1",3501
"FNIP2","FNIP2",3345
"FNTB","FNTB",1314
"FOCAD","FOCAD",5406
"FOLH1","FOLH1",2253
"FOLH1B","FOLH1B",1329
"FOLR1","FOLR1",774
"FOLR2","FOLR2",768
"FOLR3","FOLR3",736
"FOLR4","FOLR4",752
"FOPNL","FOPNL",525
"FOS","FOS",1143
"FOSB","FOSB",1017
"FOSL1","FOSL1",816
"FOSL2","FOSL2",981
"FOXA1","FOXA1",1419
"FOXA2","FOXA2",1392
"FOXA3","FOXA3",1053
"FOXB1","FOXB1",978
"FOXB2","FOXB2",1299
"FOXC1","FOXC1",1662
"FOXC2","FOXC2",1506
"FOXD1","FOXD1",1396
"FOXD2","FOXD2",1488
"FOXD3","FOXD3",1437
"FOXD4","FOXD4",1320
"FOXD4L1","FOXD4L1",1227
"FOXD4L2","FOXD4L2",2502
"FOXD4L3","FOXD4L3",1254
"FOXD4L4","FOXD4L4",2502
"FOXD4L5","FOXD4L5",1251
"FOXD4L6","FOXD4L6",1254
"FOXE1","FOXE1",1122
"FOXE3","FOXE3",960
"FOXF1","FOXF1",1140
"FOXF2","FOXF2",1335
"FOXG1","FOXG1",1470
"FOXH1","FOXH1",1098
"FOXI1","FOXI1",1137
"FOXI2","FOXI2",957
"FOXI3","FOXI3",1262
"FOXJ1","FOXJ1",1266
"FOXJ2","FOXJ2",1725
"FOXJ3","FOXJ3",1869
"FOXK1","FOXK1",2202
"FOXL1","FOXL1",1038
"FOXL2","FOXL2",1131
"FOXN1","FOXN1",1947
"FOXN2","FOXN2",1296
"FOXN4","FOXN4",1554
"FOXO1","FOXO1",1968
"FOXO4","FOXO4",1518
"FOXP2","FOXP2",2251
"FOXP4","FOXP4",2043
"FOXQ1","FOXQ1",1212
"FOXR1","FOXR1",879
"FOXR2","FOXR2",936
"FOXRED1","FOXRED1",1461
"FOXRED2","FOXRED2",2055
"FOXS1","FOXS1",993
"FPGS","FPGS",1764
"FPGT","FPGT",1814
"FPGT-TNNI3K","FPGT-TNNI3K",2840
"FPR1","FPR1",1053
"FPR2","FPR2",1056
"FPR3","FPR3",1062
"FRA10AC1","FRA10AC1",948
"FRAT1","FRAT1",840
"FRAT2","FRAT2",702
"FREM1","FREM1",6560
"FREM2","FREM2",9510
"FRG1","FRG1",777
"FRG2","FRG2",1674
"FRG2B","FRG2B",837
"FRG2C","FRG2C",1698
"FRK","FRK",1518
"FRMD1","FRMD1",1659
"FRMD4A","FRMD4A",3120
"FRMD4B","FRMD4B",3105
"FRMD5","FRMD5",1713
"FRMD6","FRMD6",1869
"FRMD7","FRMD7",2145
"FRMD8","FRMD8",1395
"FRMPD1","FRMPD1",4737
"FRMPD2","FRMPD2",3952
"FRRS1","FRRS1",1881
"FRRS1L","FRRS1L",1035
"FRS2","FRS2",1527
"FRS3","FRS3",1479
"FRZB","FRZB",978
"FSCB","FSCB",2478
"FSCN2","FSCN2",1551
"FSCN3","FSCN3",1497
"FSD1","FSD1",1491
"FSD2","FSD2",2250
"FSHR","FSHR",2088
"FSIP1","FSIP1",1746
"FSIP2","FSIP2",4837
"FST","FST",1037
"FSTL1","FSTL1",927
"FSTL3","FSTL3",792
"FSTL4","FSTL4",2529
"FSTL5","FSTL5",2544
"FTCD","FTCD",1626
"FTH1","FTH1",552
"FTHL17","FTHL17",552
"FTL","FTL",528
"FTMT","FTMT",729
"FTO","FTO",1518
"FTSJ2","FTSJ2",741
"FUBP3","FUBP3",1719
"FUCA1","FUCA1",1401
"FUCA2","FUCA2",1404
"FUK","FUK",3255
"FUNDC1","FUNDC1",468
"FUNDC2","FUNDC2",570
"FUOM","FUOM",472
"FURIN","FURIN",2385
"FUS","FUS",1581
"FUT1","FUT1",1098
"FUT10","FUT10",1440
"FUT11","FUT11",1479
"FUT2","FUT2",1032
"FUT3","FUT3",1086
"FUT4","FUT4",1593
"FUT5","FUT5",1125
"FUT6","FUT6",1080
"FUT7","FUT7",1029
"FUT8","FUT8",1728
"FUT9","FUT9",1080
"FUZ","FUZ",1257
"FXN","FXN",675
"FXYD1","FXYD1",279
"FXYD2","FXYD2",220
"FXYD3","FXYD3",606
"FXYD4","FXYD4",270
"FXYD5","FXYD5",537
"FXYD6","FXYD6",288
"FXYD6-FXYD2","FXYD6-FXYD2",485
"FXYD7","FXYD7",243
"FYB","FYB",2510
"FZD1","FZD1",1944
"FZD10","FZD10",1746
"FZD3","FZD3",2001
"FZD4","FZD4",1614
"FZD5","FZD5",1758
"FZD6","FZD6",2121
"FZD7","FZD7",1725
"FZD8","FZD8",2085
"FZD9","FZD9",1776
"FZR1","FZR1",1491
"G0S2","G0S2",312
"G3BP1","G3BP1",1401
"G6PC","G6PC",1074
"G6PC3","G6PC3",1041
"GAA","GAA",2859
"GAB1","GAB1",2175
"GAB2","GAB2",2031
"GAB4","GAB4",1725
"GABARAP","GABARAP",354
"GABARAPL1","GABARAPL1",354
"GABARAPL2","GABARAPL2",354
"GABPB2","GABPB2",1347
"GABRA2","GABRA2",1356
"GABRA3","GABRA3",1479
"GABRA4","GABRA4",1676
"GABRA5","GABRA5",1389
"GABRA6","GABRA6",1362
"GABRB1","GABRB1",1425
"GABRD","GABRD",1359
"GABRE","GABRE",1521
"GABRG1","GABRG1",1398
"GABRG2","GABRG2",1428
"GABRG3","GABRG3",1424
"GABRP","GABRP",1323
"GABRQ","GABRQ",1899
"GABRR1","GABRR1",1440
"GABRR2","GABRR2",1398
"GABRR3","GABRR3",1404
"GAD1","GAD1",1822
"GAD2","GAD2",1758
"GADD45G","GADD45G",480
"GADD45GIP1","GADD45GIP1",669
"GADL1","GADL1",1566
"GAGE1","GAGE1",107
"GAGE10","GAGE10",207
"GAGE12B","GAGE12B",84
"GAGE12C","GAGE12C",294
"GAGE12D","GAGE12D",294
"GAGE12E","GAGE12E",294
"GAGE12F","GAGE12F",210
"GAGE12G","GAGE12G",294
"GAGE12H","GAGE12H",84
"GAGE12I","GAGE12I",210
"GAGE12J","GAGE12J",126
"GAGE2A","GAGE2A",576
"GAGE2B","GAGE2B",207
"GAGE2C","GAGE2C",369
"GAGE2D","GAGE2D",162
"GAGE2E","GAGE2E",243
"GAGE6","GAGE6",210
"GAGE8","GAGE8",243
"GAK","GAK",3936
"GAL","GAL",372
"GAL3ST1","GAL3ST1",1272
"GAL3ST2","GAL3ST2",1197
"GAL3ST3","GAL3ST3",1296
"GAL3ST4","GAL3ST4",1461
"GALC","GALC",2058
"GALE","GALE",1047
"GALK2","GALK2",1397
"GALM","GALM",1029
"GALNS","GALNS",1569
"GALNT10","GALNT10",1812
"GALNT11","GALNT11",1827
"GALNT12","GALNT12",1746
"GALNT13","GALNT13",1671
"GALNT14","GALNT14",1659
"GALNT15","GALNT15",1920
"GALNT16","GALNT16",1677
"GALNT2","GALNT2",1716
"GALNT3","GALNT3",1902
"GALNT4","GALNT4",1737
"GALNT5","GALNT5",2823
"GALNT6","GALNT6",1869
"GALNT7","GALNT7",1974
"GALNT8","GALNT8",1914
"GALNTL5","GALNTL5",1332
"GALNTL6","GALNTL6",1806
"GALP","GALP",351
"GALR1","GALR1",1050
"GALR2","GALR2",1164
"GALR3","GALR3",1107
"GALT","GALT",1140
"GAMT","GAMT",951
"GAN","GAN",1794
"GANAB","GANAB",2901
"GANC","GANC",2745
"GAP43","GAP43",855
"GAPDH","GAPDH",1008
"GAPDHS","GAPDHS",1227
"GAPT","GAPT",474
"GAR1","GAR1",654
"GAREM","GAREM",2631
"GAREML","GAREML",2625
"GARS","GARS",2220
"GAS1","GAS1",1038
"GAS2","GAS2",942
"GAS2L1","GAS2L1",2045
"GAS6","GAS6",2037
"GAS8","GAS8",1437
"GAST","GAST",306
"GATA1","GATA1",1242
"GATA2","GATA2",1443
"GATA3","GATA3",1335
"GATA5","GATA5",1194
"GATA6","GATA6",1788
"GATAD1","GATAD1",810
"GATC","GATC",411
"GATM","GATM",1272
"GATS","GATS",492
"GATSL1","GATSL1",990
"GATSL2","GATSL2",990
"GATSL3","GATSL3",990
"GBA","GBA",1611
"GBA2","GBA2",2784
"GBA3","GBA3",1410
"GBAS","GBAS",861
"GBE1","GBE1",2109
"GBGT1","GBGT1",1044
"GBP1","GBP1",1779
"GBP2","GBP2",1776
"GBP3","GBP3",1788
"GBP4","GBP4",1923
"GBP5","GBP5",1761
"GBP6","GBP6",1902
"GBX1","GBX1",1092
"GBX2","GBX2",1047
"GC","GC",1461
"GCA","GCA",654
"GCAT","GCAT",1338
"GCC1","GCC1",2328
"GCC2","GCC2",4860
"GCDH","GCDH",1361
"GCFC2","GCFC2",2366
"GCG","GCG",543
"GCGR","GCGR",1434
"GCH1","GCH1",845
"GCHFR","GCHFR",255
"GCK","GCK",1488
"GCKR","GCKR",1878
"GCLM","GCLM",825
"GCM1","GCM1",1311
"GCNT1","GCNT1",1287
"GCNT2","GCNT2",3053
"GCNT3","GCNT3",1317
"GCNT4","GCNT4",1362
"GCNT7","GCNT7",1293
"GCOM1","GCOM1",1653
"GCSAM","GCSAM",543
"GCSAML","GCSAML",408
"GCSH","GCSH",522
"GDA","GDA",1365
"GDAP1","GDAP1",1077
"GDAP2","GDAP2",1539
"GDE1","GDE1",996
"GDF1","GDF1",1119
"GDF10","GDF10",1437
